name,risk,alpha,beta,r2,stddev,sharpe, ,scheme_code,scheme_name,fund_house,scheme_type,scheme_category,start_date,start_nav,current_nav,last_updated,skewness,kurtosis,nav_mean,nav_std,nav_min,nav_max
Quant Liquid Mn IDCW-P,–,47.34,15.57,4.03,5.99,8.63,,103226,quant Liquid Fund-Daily IDCW Option - Regular Plan,quant Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,03-04-2006,10.26760,12.8391,08-Jun-2025,12.848233013902835,1219.8511401066705,13.16470509440684,0.8189927279096195,10.1861,15.5242
Quant Liquid Mn IDCW-R,–,47.34,15.57,4.03,5.99,8.63,,103226,quant Liquid Fund-Daily IDCW Option - Regular Plan,quant Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,03-04-2006,10.26760,12.8391,08-Jun-2025,12.848233013902835,1219.8511401066705,13.16470509440684,0.8189927279096195,10.1861,15.5242
Quant Liquid Dir Mn IDCW-P,–,15.06,26.05,5.33,8.7,2.51,,120838,quant Liquid Fund - Monthly IDCW Option - Direct Plan,quant Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,04-01-2013,15.08780,15.7107,08-Jun-2025,5.098426154928792,26.38466338608514,15.363863334198909,0.1880619658190815,15.0127,15.7763
Quant Liquid Dir Mn IDCW-R,–,15.06,26.05,5.33,8.7,2.51,,120838,quant Liquid Fund - Monthly IDCW Option - Direct Plan,quant Mutual Fund,Open Ended Schemes,Debt Scheme - Liquid Fund,04-01-2013,15.08780,15.7107,08-Jun-2025,5.098426154928792,26.38466338608514,15.363863334198909,0.1880619658190815,15.0127,15.7763
